Conection done
"1579585 1623749"
"1585188 1628903"
"1587420 1634560"
"1589889 1637073"
"1590500 1637523"
"1592406 1639733"
"1590574 1637589"
"1596180 1639931"
"1602763 1615801"
"1606973 1619441"
"1609575 1621875"
"1609829 1621948"
"1613246 1626109"
"1614143 1626500"
"1616816 1629302"
"1619811 1632329"
"1556907 1564267"
"1559902 1564324"
"1561031 1566774"
"1569126 1583976"
"1592343 1602788"
"1591792 1604610"
"1596825 1608489"
"1600637 1609531"
"1579976 1587338"
"1582425 1587775"
"1577208 1587716"
"1584980 1593681"
"1591433 1596284"
"1592584 1597890"
"1592940 1599179"
"1604762 1608612"
"1609583 1617192"
"1608537 1617530"
"1613194 1620930"
"1613563 1621821"
"1495917 2065381"
"1496114 2065916"
"1497730 2072627"
"1518744 2087306"
"1497867 2903178"
"1497534 2905767"
"1503178 2909812"
"1504153 2921496"
"1498370 2776753"
"1497228 2777337"
"1496599 2777707"
"1503578 2780772"
"1496210 3415433"
"1498238 3416043"
"514 3401536"
"467 3402193"
"436 3403086"
"452 3404095"
"472 3405031"
"1497079 3421225"
"429 3405717"
"470 3406669"
"402 3407075"
"1497697 3437098"
"1498589 4256426"
"1504972 4258369"
"1509231 4260541"
"1498500 4271960"
"1503807 4272904"
"1499483 4273291"
"1498089 4274509"
"1500461 4274962"
"1495049 2903894"
"1497196 2904180"
"1497990 2905683"
"1500976 2922339"
"1498194 3743816"
"1497376 3746262"
"1494843 1757770"
"1498600 3759160"
"1501331 1762351"
"1500818 1762927"
"1518488 3765554"
"1506352 1766929"
"1495896 2399742"
"1503399 2407343"
"1508041 2413430"
"1493112 2415310"
"1538545 1541309"
"1539382 1541922"
"1542797 1545510"
"1543894 1546249"
"1564011 1566402"
"1564130 1566986"
"1566179 1568096"
"1570643 1573789"
"1522291 1535011"
"1523599 1535103"
"1527036 1536915"
"1534307 1547955"
"1571861 1580601"
"1577001 1580814"
"1578016 1584988"
"1590342 1596092"
"1501778 1508821"
"1503643 1509304"
"1507458 1514642"
"1516958 1523277"
"1594793 1598102"
"1596255 1599547"
"1599963 1604726"
"1607859 1613270"
"1600664 1605712"
"1602221 1606529"
"1608855 1612175"
"1611057 1614396"
"1496960 2367081"
"1502010 2374029"
"1498462 2374368"
"1498999 2383457"
"1500182 2315940"
"1500795 2317395"
"1498294 2319826"
"1499694 2330338"
"1497197 2962136"
"1497660 2968513"
"1497762 2970579"
"1509746 2975989"
"1498438 3656976"
"1496356 3661935"
"1498969 3664100"
"1498813 3673412"
"1496982 3751322"
"451 3546975"
"381 3548152"
"418 3549379"
"467 3550742"
"406 3551908"
"1507280 3758458"
"505 3553251"
"410 3553608"
"1510017 3759923"
"431 3554440"
"1501297 3765676"
"1496939 4346769"
"1495214 4351320"
"1499527 4357652"
"1495179 4358037"
"1497916 5109918"
"1498506 5117196"
"1501126 5117591"
"1500053 5128087"
"1499966 3053959"
"1505754 3060526"
"1505066 3064157"
"1524288 3078695"
"1498185 3686313"
"1498183 3690208"
"1496106 3694392"
"1497293 3695840"
"1498773 2448420"
"1500539 2457476"
"1502843 2459356"
"1498786 2466370"
"1500109 2553657"
"1497177 2556725"
"1498712 2562049"
"1511858 2589931"
"1503638 1506331"
"1503634 1506343"
"1503419 1506352"
"1508119 1512062"
"1500064 1948566"
"1497957 1957299"
"1495072 1961440"
"1529494 1987297"
"1502868 1506517"
"1502926 1506574"
"1504068 1507179"
"1504242 1508218"
"1600861 1603835"
"1602748 1605902"
"1611784 1614856"
"1618132 1620737"
"1502242 1508381"
"1502633 1510076"
"1503888 1510163"
"1505084 1511950"
"1600211 1605157"
"1604523 1608112"
"1606736 1609548"
"1616056 1621441"
"1589693 1592948"
"1591413 1594769"
"1596412 1599548"
"1628699 1631726"
"1496497 1844595"
"1499933 1849569"
"1498154 1849589"
"1503562 1853488"
"1495771 1897496"
"1496494 1900659"
"1499824 1905227"
"1497777 1915310"
"1498181 3049430"
"1500228 3053079"
"1500769 3058312"
"1514112 3103470"
"1494975 3287345"
